,longitude,latitude
53,72.6869636666667,21.9088556666667
124,72.68656949999999,21.909473000000002
1246,72.6856554,21.909116
1473,71.5872736666667,33.260853000000004
1998,68.58500649999999,25.3878285
1999,72.8127696666667,22.093707333333303
2277,77.6959318333333,27.374756
2278,72.9074426666667,19.014754
2547,77.695488875,27.37499475
2649,68.58517625,25.38668225
2796,71.49366500000001,25.933028
2897,68.5855775,25.387864666666697
3113,73.116043,22.3649526666667
3195,77.6949755,27.3760763333333
3866,72.9289053333333,18.860262333333303
4126,94.22951,37.915422
4154,77.6947211666667,27.3754641666667
4155,68.932973,25.863631333333302
4156,68.586118,25.3886311666667
4157,73.1159158333333,22.36485175
4540,71.49507325,25.931432625
4795,77.69519875,27.3741311666667
4796,73.1160206666667,22.365026999999998
4797,72.8111725,22.094357000000002
4798,72.92817975,18.85961175
4799,82.0885073333333,16.485010166666697
5133,77.6954265,27.3738915714286
5134,68.58608050000001,25.38824675
5135,72.6851566666667,21.9096186666667
5136,72.90794375,19.01509775
5323,82.0885073333333,16.485010166666697
5531,77.6950395555555,27.3744704444444
5532,71.4968375,25.929417125
5891,68.5861646666667,25.3884236666667
6139,77.6948624,27.3746924
6140,72.6847535714286,21.909660285714303
6421,73.1162392222222,22.364429666666698
6422,72.6846902857143,21.910107999999997
6572,95.121821,27.427587
6609,71.938067,33.4044963333333
6610,73.1158471904762,22.3645315714286
6611,72.684503625,21.910284
6612,72.927082,18.858833666666698
6613,82.08842750000001,16.484180875
6622,68.933029,25.8618416666667
6865,71.938278,33.406101
6866,72.81153559999998,22.0947322
6867,72.68418125,21.909603125
6868,82.08870920000001,16.4845241
6869,71.4968566,25.929889300000003
6925,68.93325225,25.860977
6927,68.586585,25.387662625
7117,72.6836471428571,21.909995857142896
7183,69.3701028333333,28.054482666666697
7417,94.22979725,37.91645925
7418,82.0889746666667,16.48393525
7484,72.92774150000001,18.8600475
7734,94.2292906,37.9158502
7779,72.81129140000002,22.0955264
7780,72.6463226666667,21.791300833333302
7781,82.0899016666667,16.4848969166667
8085,68.5858331666667,25.3873533333333
8086,72.6490286666667,21.793827833333303
8334,77.6952301,27.3748516
8335,86.06851375,25.43853325
8336,73.1154005416667,22.364228625
8337,72.928495,18.8586434
8406,71.497602,25.929653
8556,95.0890706666667,27.3757533333333
8557,77.6953978181818,27.374999272727297
8558,72.682869,21.9106715
8559,82.089259625,16.4846050625
8566,72.64980775,21.794264375
9034,86.06882159999999,25.4381996
9065,71.9406533333333,33.407533
9336,68.9335144,25.8617794
9337,73.0162683333333,22.228602333333303
9338,72.7579143333333,21.907175
9551,72.81024599999999,22.0958748
9552,72.6842594166667,21.9091673333333
9553,71.42788166666669,19.276040333333302
9568,68.9327086666667,25.861797
9739,82.0894228888889,16.4844027222222
9775,71.3094228333333,33.263857666666695
9782,68.9327303333333,25.8611745
9946,86.068775,25.438535
10009,68.93281442857139,25.861144142857103
10011,73.0151995,22.22830125
10218,68.93325899999999,25.8614125
10220,72.6833548125,21.909841625
10466,68.9331546666667,25.8617422222222
10676,71.498984,25.930059166666698
11067,71.49883375,25.930999625
11290,77.69659300000001,27.3747701666667
11484,71.49871766666669,25.930648083333303
11485,68.5850105,25.38776575
11486,73.0146438,22.228731
11709,86.0680326,25.438957199999997
12067,68.934319625,25.8619335
12265,72.9281823333333,18.859973999999998
12337,71.4993548333333,25.931356083333302
12589,71.49939549999999,25.930008916666697
12749,94.22971566666669,37.914522999999996
12816,71.499791625,25.9301180625
12817,68.58450875,25.38761275
12818,73.0148696666667,22.2290711666667
12819,72.8107476666667,22.095165333333302
13032,77.6976585,27.37572225
13033,73.1142476666667,22.364104
13034,73.01502328571429,22.228459714285698
13192,71.499688,25.93215175
13245,68.58321375,25.3872575
13406,72.6831908125,21.909750375
13447,71.591419125,33.26552725
13451,71.50005977777779,25.9312087222222
13675,68.5090583333333,24.6499983333333
13676,72.7566223333333,21.9071236666667
13861,71.5915207,33.266044199999996
13862,68.9340584444444,25.861675444444398
13863,73.014799,22.228753
14056,68.9339928,25.862378500000002
14057,68.5834426,25.386602399999997
14186,95.0900346666667,27.376642999999998
14203,71.4998762222222,25.9308338888889
14204,68.9337364,25.862664600000002
14389,72.68097675,21.9105885
14390,72.7573815,21.9070535
14392,68.5828872,25.387148800000002
14623,86.06914499999999,25.43794525
14674,71.5920227,33.265460600000004
14678,71.499572,25.9305331
14679,68.9339543636364,25.862807181818198
14680,68.58254625,25.385204375
14816,95.09001925,27.37625025
14864,68.9337732727273,25.862387545454503
15039,68.5070873333333,24.6515
15174,96.0346173333333,27.397981333333302
15202,73.014706,22.229167857142897
15353,71.5915285833333,33.265378000000005
15354,73.01465300000001,22.22866175
15401,68.5835708,25.387510100000004
15558,86.0679346666667,25.436964
15596,68.93371575,25.861990583333302
15782,86.0684985,25.43770275
15999,71.499768,25.930501100000004
16000,73.0150701428571,22.229176285714303
16363,86.0685235,25.43915575
16364,71.499667,25.9305409090909
16365,68.5841356666667,25.38761125
16576,86.0686006,25.4386098
16577,72.6822383333333,21.907997333333302
16773,86.06848149999999,25.4378408333333
16810,68.934048,25.861880714285697
16980,96.0338163333333,27.3968456666667
17176,96.03446600000001,27.397331
17192,71.49974390909091,25.9304420909091
17193,68.584338125,25.3868574375
17392,72.9258906666667,18.860420333333302
17442,68.583825,25.386714611111103
17595,86.0689077142857,25.437727
17753,86.068448125,25.437831375
17778,71.49979609999998,25.930117000000003
17780,72.68236800000001,21.906744
17783,72.927334,18.8601695
17942,72.6814805,21.9066915
18092,95.08959025,27.37817225
18093,86.06695114285709,25.4377245714286
18125,69.371025,28.051091999999997
18126,68.58344375,25.3871205625
18127,72.8110986666667,22.0963306666667
18252,95.1921793333333,27.4495716666667
18277,86.067515375,25.4376395
18278,71.4997744090909,25.930136318181802
18279,72.6470666666667,21.793109
18627,71.4995539444445,25.9306945
18814,71.49987015,25.93109005
18982,73.0155085,22.22953525
19158,68.93304300000001,25.861242
19159,72.8106613333333,22.097009666666697
19351,71.4996174375,25.9314144375
19352,71.3078356666667,33.269614000000004
19530,68.5832848571429,25.388112785714302
19660,96.03546925,27.39749925
19676,68.9335768333333,25.862222
19844,69.36857866666669,28.051584333333302
20199,71.4997658333333,25.9316711666667
20704,71.3084805,33.271897666666696
20705,71.4988621666667,25.9312970555556
