air1_iata,air1_lat,air1_lng,air2_iata,air2_lat,air2_lng,route,twc
DEL,28.56861111,77.11222222,COK,10.155,76.391,nan,18935
DEL,28.56861111,77.11222222,BOM,19.08861111,72.86805556,nan,161401
DEL,28.56861111,77.11222222,MAA,12.98222222,80.16361111,nan,56865
DEL,28.56861111,77.11222222,IXC,30.67472222,76.79055556,nan,16001
DEL,28.56861111,77.11222222,JAI,26.82416667,75.81222222,nan,33323
DEL,28.56861111,77.11222222,IXZ,11.64111111,92.72972222,nan,5971
DEL,28.56861111,77.11222222,GOI,15.38083333,73.83138889,nan,37024
DEL,28.56861111,77.11222222,STV,21.11765833,72.74525833,nan,9954
DEL,28.56861111,77.11222222,IXJ,32.68916667,74.8375,nan,19628
DEL,28.56861111,77.11222222,JLR,23.18472222,80.05875,nan,2930
DEL,28.56861111,77.11222222,SXR,33.98713889,74.77425,nan,33798
DEL,28.56861111,77.11222222,GAU,26.10611111,91.58583333,nan,38902
DEL,28.56861111,77.11222222,DHM,32.218,76.32,nan,3352
DEL,28.56861111,77.11222222,AIP,31.43305556,75.76055556,RCS,812
DEL,28.56861111,77.11222222,DED,30.18972222,78.18027778,nan,24767
DEL,28.56861111,77.11222222,IXB,26.68111111,88.32861111,nan,23099
DEL,28.56861111,77.11222222,GOP,26.73970032,83.4496994,nan,3388
DEL,28.56861111,77.11222222,JSA,26.88027778,70.855,nan,812
DEL,28.56861111,77.11222222,ATQ,31.70777778,74.79916667,nan,25776
DEL,28.56861111,77.11222222,KNU,26.44140053,80.36489868,RCS,812
DEL,28.56861111,77.11222222,PAT,25.59361111,85.09194444,nan,41342
DHM,32.218,76.32,DEL,28.56861111,77.11222222,nan,3932
DIB,27.48385278,95.016944,GAU,26.10611111,91.58583333,nan,1967
GOI,15.38083333,73.83138889,BOM,19.08861111,72.86805556,nan,47129
GOI,15.38083333,73.83138889,AMD,23.07722222,72.63472222,nan,13891
GOI,15.38083333,73.83138889,MAA,12.98222222,80.16361111,nan,3934
GOI,15.38083333,73.83138889,HYD,17.24,78.43,nan,16080
GOI,15.38083333,73.83138889,DEL,28.56861111,77.11222222,nan,36015
GOI,15.38083333,73.83138889,PNQ,18.58222222,73.91972222,nan,3036
GOI,15.38083333,73.83138889,STV,21.11765833,72.74525833,nan,812
GOP,26.73970032,83.4496994,DEL,28.56861111,77.11222222,nan,3388
GAU,26.10611111,91.58583333,IXS,24.91290092,92.97869873,nan,3220
GAU,26.10611111,91.58583333,DIB,27.48385278,95.016944,nan,1967
GAU,26.10611111,91.58583333,JAI,26.82416667,75.81222222,nan,2408
GAU,26.10611111,91.58583333,MAA,12.98222222,80.16361111,nan,6519
GAU,26.10611111,91.58583333,HYD,17.24,78.43,nan,2654
GAU,26.10611111,91.58583333,IXA,23.89,91.24222222,nan,4718
GAU,26.10611111,91.58583333,CCU,22.65472222,88.44666667,nan,41157
GAU,26.10611111,91.58583333,DEL,28.56861111,77.11222222,nan,37441
HYD,17.24,78.43,BOM,19.08861111,72.86805556,nan,49581
HYD,17.24,78.43,JAI,26.82416667,75.81222222,nan,12968
HYD,17.24,78.43,DEL,28.56861111,77.11222222,nan,65129
HYD,17.24,78.43,MAA,12.98222222,80.16361111,nan,25508
HYD,17.24,78.43,BLR,13.20694444,77.70416667,nan,53559
HYD,17.24,78.43,TIR,13.63777778,79.54722222,nan,17044
HYD,17.24,78.43,IXE,12.96138889,74.89,nan,6408
HYD,17.24,78.43,VGA,16.52888889,80.79583333,nan,9612
HYD,17.24,78.43,VTZ,17.72111111,83.22444444,nan,15582
HYD,17.24,78.43,PAT,25.59361111,85.09194444,nan,9338
HYD,17.24,78.43,GOI,15.38083333,73.83138889,nan,16080
HYD,17.24,78.43,IXM,9.83361111,78.08944444,nan,812
HYD,17.24,78.43,PNY,11.96666667,79.81444444,RCS,812
HYD,17.24,78.43,AMD,23.07722222,72.63472222,nan,15120
HYD,17.24,78.43,IXG,15.85916667,74.6175,nan,812
HYD,17.24,78.43,RJA,17.11027778,81.81833333,nan,5712
HYD,17.24,78.43,PNQ,18.58222222,73.91972222,nan,20204
HYD,17.24,78.43,JLR,23.18472222,80.05875,nan,812
HYD,17.24,78.43,VNS,25.45222222,82.85944444,nan,9338
HYD,17.24,78.43,STV,21.11765833,72.74525833,nan,812
HYD,17.24,78.43,CCU,22.65472222,88.44666667,nan,25144
HYD,17.24,78.43,GAU,26.10611111,91.58583333,nan,2654
JLR,23.18472222,80.05875,DEL,28.56861111,77.11222222,nan,2814
JLR,23.18472222,80.05875,BOM,19.08861111,72.86805556,nan,812
JLR,23.18472222,80.05875,HYD,17.24,78.43,nan,812
JLR,23.18472222,80.05875,CCU,22.65472222,88.44666667,nan,1834
JAI,26.82416667,75.81222222,STV,21.11765833,72.74525833,nan,812
JAI,26.82416667,75.81222222,VNS,25.45222222,82.85944444,nan,812
JAI,26.82416667,75.81222222,CCU,22.65472222,88.44666667,nan,13958
JAI,26.82416667,75.81222222,HYD,17.24,78.43,nan,13133
JAI,26.82416667,75.81222222,DEL,28.56861111,77.11222222,nan,22669
JAI,26.82416667,75.81222222,GAU,26.10611111,91.58583333,nan,2408
JAI,26.82416667,75.81222222,UDR,24.61777778,73.89611111,nan,3759
JAI,26.82416667,75.81222222,JSA,26.88027778,70.855,RCS,812
JAI,26.82416667,75.81222222,AMD,23.07722222,72.63472222,nan,7674
JSA,26.88027778,70.855,JAI,26.82416667,75.81222222,RCS,812
JSA,26.88027778,70.855,DEL,28.56861111,77.11222222,nan,3564
JSA,26.88027778,70.855,SXR,33.98713889,74.77425,nan,2752
IXY,23.11269951,70.10030365,BOM,19.08861111,72.86805556,RCS,812
KNU,26.44140053,80.36489868,DEL,28.56861111,77.11222222,RCS,812
COK,10.155,76.391,MAA,12.98222222,80.16361111,nan,27245
COK,10.155,76.391,DEL,28.56861111,77.11222222,nan,18935
COK,10.155,76.391,BOM,19.08861111,72.86805556,nan,30668
COK,10.155,76.391,PNQ,18.58222222,73.91972222,nan,4704
COK,10.155,76.391,BLR,13.20694444,77.70416667,nan,38189
CCU,22.65472222,88.44666667,HYD,17.24,78.43,nan,25144
CCU,22.65472222,88.44666667,JAI,26.82416667,75.81222222,nan,13958
CCU,22.65472222,88.44666667,IXS,24.91290092,92.97869873,nan,3848
CCU,22.65472222,88.44666667,VTZ,17.72111111,83.22444444,nan,7399
CCU,22.65472222,88.44666667,BLR,13.20694444,77.70416667,nan,45856
CCU,22.65472222,88.44666667,DEL,28.56861111,77.11222222,nan,66835
CCU,22.65472222,88.44666667,BOM,19.08861111,72.86805556,nan,45332
CCU,22.65472222,88.44666667,IXA,23.89,91.24222222,nan,28287
CCU,22.65472222,88.44666667,PAT,25.59361111,85.09194444,nan,15113
CCU,22.65472222,88.44666667,STV,21.11765833,72.74525833,nan,2408
CCU,22.65472222,88.44666667,IXB,26.68111111,88.32861111,nan,19223
CCU,22.65472222,88.44666667,MAA,12.98222222,80.16361111,nan,32965
CCU,22.65472222,88.44666667,IXZ,11.64111111,92.72972222,nan,15125
CCU,22.65472222,88.44666667,GAU,26.10611111,91.58583333,nan,40943
CCU,22.65472222,88.44666667,JLR,23.18472222,80.05875,nan,1834
CCJ,11.14,75.95,MAA,12.98222222,80.16361111,nan,2488
CCJ,11.14,75.95,BLR,13.20694444,77.70416667,nan,5316
